== scope_old_r1: total GPU 31.72 s, Newton 577
   zero_cross31         inst=    566 avg=      8.2us tot=     4.6ms   8.164 ms/newton
   conv_other           inst=   1135 avg=    663.0us tot=   752.5ms 1322.564 ms/newton
   conv_other           inst=   4536 avg=    106.3us tot=   482.0ms 847.035 ms/newton
   conv_other           inst=   1135 avg=     56.0us tot=    63.5ms 111.640 ms/newton
   conv_other           inst=    566 avg=    103.8us tot=    58.8ms 103.272 ms/newton
   conv_other           inst=   1134 avg=     37.0us tot=    42.0ms  73.756 ms/newton
   conv_other           inst=    569 avg=     56.5us tot=    32.2ms  56.549 ms/newton
   conv_other           inst=   1135 avg=     27.4us tot=    31.1ms  54.719 ms/newton
   conv_other           inst=   1620 avg=     17.2us tot=    27.9ms  49.025 ms/newton
   conv_other           inst=   1135 avg=     14.9us tot=    16.9ms  29.692 ms/newton
   conv_other           inst=    569 avg=     24.3us tot=    13.8ms  24.338 ms/newton
   conv_other           inst=   1135 avg=      4.6us tot=     5.2ms   9.146 ms/newton
   conv_other           inst=    405 avg=     10.6us tot=     4.3ms   7.528 ms/newton
   conv_other           inst=   1134 avg=      1.6us tot=     1.9ms   3.271 ms/newton
   conv_other           inst=    348 avg=      3.4us tot=     1.2ms   2.084 ms/newton
   conv_other           inst=    405 avg=      1.3us tot=     0.5ms   0.945 ms/newton
   conv_other           inst=      1 avg=      6.9us tot=     0.0ms   0.012 ms/newton
   ctl_spmv             inst= 107465 avg=     66.2us tot=  7115.3ms 12504.916 ms/newton
   ctl_assemble         inst=    566 avg=   5368.1us tot=  3038.3ms 5339.793 ms/newton
   ctl_assemble         inst=    562 avg=   2040.4us tot=  1146.7ms 2015.322 ms/newton
   ctl_assemble         inst=    566 avg=   1239.6us tot=   701.6ms 1233.019 ms/newton
   ctl_assemble         inst=    569 avg=    535.5us tot=   304.7ms 535.464 ms/newton
   ctl_assemble         inst=    186 avg=     38.6us tot=     7.2ms  12.620 ms/newton
   ctl_assemble         inst=    190 avg=     28.2us tot=     5.4ms   9.410 ms/newton
   CONVERTER FAMILY TOTAL 1886 ms = 6.25 % of GPU = 3.315 ms/newton
== scope_new_r2: total GPU 28.61 s, Newton 565
   onesweep_int_int_NEW inst=   1122 avg=     72.7us tot=    81.6ms 144.450 ms/newton
   hist_int_int_NEW     inst=    561 avg=     15.6us tot=     8.8ms  15.537 ms/newton
   excl_int_int_NEW     inst=    561 avg=      1.5us tot=     0.8ms   1.459 ms/newton
   iota_k1_NEW          inst=    562 avg=      7.4us tot=     4.2ms   7.368 ms/newton
   rle_int              inst=    562 avg=     16.6us tot=     9.4ms  16.557 ms/newton
   mk_uniq_vec_k1       inst=    562 avg=      1.3us tot=     0.7ms   1.279 ms/newton
   mk_uniq_seg_k1       inst=    562 avg=      2.7us tot=     1.5ms   2.683 ms/newton
