  A_6|B_5: 22 frames above, 0 below, final 2.6257e-01
  A_6|B_6: 1 frames above, 0 below, final 3.1457e-01
  A_6|B_7: 1 frames above, 0 below, final 2.6273e-01
  A_6|B_8: 3 frames above, 0 below, final 2.5893e-01
  A_6|B_9: 1 frames above, 0 below, final 2.7782e-01
  A_7|B_1: 1 frames above, 0 below, final 2.2222e-01
  A_7|B_10: 2 frames above, 0 below, final 2.2161e-01
  A_7|B_2: 1 frames above, 0 below, final 2.3840e-01
  A_7|B_3: 1 frames above, 0 below, final 1.3413e-01
  A_7|B_4: 2 frames above, 0 below, final 1.7680e-01
  A_7|B_5: 2 frames above, 0 below, final 1.0546e-01
  A_7|B_6: 1 frames above, 0 below, final 3.4863e-01
  A_7|B_7: 1 frames above, 0 below, final 1.5304e-01
  A_7|B_8: 2 frames above, 0 below, final 2.6697e-01
  A_7|B_9: 2 frames above, 0 below, final 2.7428e-01
  A_8|B_1: 0 frames above, 4 below, final 2.6575e-01
  A_8|B_10: 3 frames above, 0 below, final 2.3972e-01
  A_8|B_2: 1 frames above, 0 below, final 2.8184e-01
  A_8|B_3: 1 frames above, 8 below, final 2.0239e-01
  A_8|B_4: 2 frames above, 0 below, final 2.3172e-01
  A_8|B_5: 3 frames above, 0 below, final 1.8365e-01
  A_8|B_8: 3 frames above, 0 below, final 1.5034e-01
  A_8|B_9: 1 frames above, 0 below, final 2.6469e-01
  A_9|B_1: 1 frames above, 0 below, final 1.6507e-01
  A_9|B_10: 3 frames above, 0 below, final 2.3156e-01
  A_9|B_2: 1 frames above, 0 below, final 2.2678e-01
  A_9|B_3: 1 frames above, 0 below, final 8.4268e-02
  A_9|B_4: 2 frames above, 0 below, final 1.1981e-01
  A_9|B_5: 3 frames above, 0 below, final 1.0908e-01
  A_9|B_6: 4 frames above, 0 below, final 3.7495e-01
  A_9|B_8: 3 frames above, 1 below, final 3.0755e-01
  A_9|B_9: 1 frames above, 0 below, final 2.6485e-01
  Ap_1|B_10: 3 frames above, 0 below, final 2.1025e-01
  Ap_1|B_3: 1 frames above, 0 below, final 1.1794e-01
  Ap_1|B_4: 3 frames above, 0 below, final 1.3964e-01
