== scope_old_r1: total GPU 30.50 s
   radix_sort_cub     inst=      1 avg=      7.0us tot=     0.0ms
   other_segred       inst=   1161 avg=    660.5us tot=   766.9ms
   other_segred       inst=    579 avg=    232.7us tot=   134.7ms
   ctl_spmv           inst= 125045 avg=     65.6us tot=  8198.8ms
   ctl_assemble       inst=    579 avg=   5314.4us tot=  3077.1ms
   ctl_assemble       inst=    575 avg=   2051.1us tot=  1179.4ms
   ctl_assemble       inst=    579 avg=   1299.9us tot=   752.6ms
   ctl_assemble       inst=    582 avg=    541.0us tot=   314.8ms
   ctl_assemble       inst=    185 avg=     38.1us tot=     7.0ms
   ctl_assemble       inst=    188 avg=     28.2us tot=     5.3ms
   FAMILY TOTAL 1841 ms = 5.67 % of GPU
